Name,Category,Description
Martian Cheetos,Appetizers,"puffed and seasoned with local mars-grown spices, served with a creamy cheese dip."
Tharsis Rings,Appetizers,"crispy onion rings made from locally-grown tharsis onions, served with a tangy mars-made ketchup."
Mons Wings ,Appetizers,crispy chicken wings marinated in a spicy blend of mars-grown herbs and served with a zesty herb sauce.
Ferrum Salad,Appetizers,"a refreshing mix of locally-grown red-hued lettuce and vegetables, topped with crumbled mars-grown feta cheese and a tangy balsamic dressing."
Luft Potatoes,Appetizers,"crispy and light potato chips made from mars-grown potatoes, served with a creamy mars-made dip and a sprinkle of mars-grown herbs."
Shrimp Feu,Appetizers,delicate and flavorful shrimp dumplings steamed to perfection and served with a mars-made spicy dipping sauce.
Deimos Scallops,Entrees,"succulent scallops pan-seared with lemon butter and mars-grown herbs, served with a side of mars-grown vegetables."
Martian Poke,Entrees,"a fresh and colorful bowl featuring mars-grown vegetables and rice, topped with tender cubes of martian tuna."
Hellas Steak,Entrees,"juicy and flavorful steak cooked to perfection, topped with mars-grown chimichurri sauce and served with a side of mars-grown vegetables."
Solis Lamb,Entrees,"tender lamb shank slow-cooked with mars-grown root vegetables, served with a side of creamy mars-grown mashed potatoes."
Valles Tofu,Entrees,"flavorful stir-fried tofu made with mars-grown spices and vegetables, served with a side of fluffy mars-grown rice."
Terra Bistecca,Entrees,"juicy and tender steak grilled to perfection, served with a side of mars-grown roasted vegetables and creamy mars-grown mashed potatoes."
Mons Salmone,Entrees,"flaky and succulent salmon roasted with mars-grown herbs and lemon, served with a side of mars-grown rice and steamed vegetables."
Kikkererwten Kerrie,Entrees,"a fragrant and flavorful curry made with mars-grown chickpeas and a blend of aromatic mars-grown spices, served with a side of fluffy mars-grown naan bread."
Marte Burger,Entrees,"a juicy and flavorful burger made with mars-grown beef, served with a side of crispy mars-grown french fries and a mars-made ketchup."
Pollo Alfredo,Entrees,"tender and juicy chicken breast smothered in a creamy mars-made alfredo sauce, served over a bed of mars-grown linguine pasta."
Olympus Tart,Desserts,a warm and flaky apple tart made with mars-grown cinnamon and served with a scoop of mars-grown vanilla ice cream.
Rocky Brownies,Desserts,"rich and fudgy brownies loaded with mars-grown nuts and chocolate chunks, served warm with a dollop of whipped cream."
Marineris Bars,Desserts,"sweet and tangy lemon bars made with mars-grown lemons, served with a dusting of mars-grown powdered sugar."
Fragola Rossa,Desserts,"a mouth-watering parfait featuring layers of creamy mars-grown yogurt, fresh mars-grown strawberries, and a crunchy mars-made granola topping."
Mons Cioccolato,Desserts,"rich and decadent chocolate cake made with mars-grown chocolate and dusted with mars-grown cocoa powder, served with a scoop of mars-grown vanilla ice cream."
Gelato di Mons,Desserts,creamy and refreshing mars-grown vanilla ice cream drizzled with a mars-made caramel sauce and topped with crunchy mars-grown nuts.
Tharsis Tea,Beverages,"a fragrant and refreshing blend of mars-grown herbs, served hot or iced."
Hellas Lemonade,Beverages,"a thirst-quenching lemonade made with mars-grown lemons, served over ice."
Mons Mocha,Beverages,a decadent coffee drink made with mars-grown chocolate and topped with a swirl of whipped cream.
Elysium T̩,Beverages,"a refreshing and aromatic blend of mars-grown herbs and spices, served hot or iced."
Arancia di Acidalia,Beverages,a sweet and tangy orange juice made with mars-grown oranges and served over ice.
Martini Mons,Beverages,a classic martini made with a mars-made vermouth and garnished with a mars-grown olive.
Red Planet Margarita,Beverages,"this classic cocktail gets a martian twist with a splash of cranberry juice, giving it a vibrant red hue. made with tequila, lime juice, and a hint of agave nectar, it's the perfect way to start your meal."
Blue Moon Martini ,Beverages,"another colorful creation, this martini is made with blue curacao and vodka, giving it a brilliant blue color reminiscent of the martian sky. served with a twist of lemon."
Cosmic Colada,Beverages,"this tropical cocktail features pineapple juice, coconut cream, and white rum, all blended together for a creamy and refreshing treat. served with a slice of fresh pineapple."
Solar Flare Sangria,Beverages,"our signature sangria is made with red wine, brandy, and a mix of fresh fruit, including oranges, apples, and berries. it's the perfect drink for sharing with friends and fellow space travelers."
Martian Mule,Beverages,"this take on the classic moscow mule features ginger beer, lime juice, and vodka, with a splash of blue curacao for a bright green color. served in a copper mug for an extra touch of class."
Orbiting Orang,Beverages,"this refreshing cocktail features fresh orange juice, vodka, and a hint of triple sec, all shaken together and served over ice. it's the perfect way to cool down after a long day exploring the red planet."
Alien Ale,Beverages,"our signature beer is a light and refreshing ale, with a hint of citrus and a subtle hoppy finish. brewed with a special blend of martian-grown hops and barley, it's the perfect complement to any meal."
